batter,total_runs,total_innings,total_balls,total_fours,total_sixes,dismissals,highest_score,hundreds,fifties,batting_avg,strike_rate,bowler,wickets,runs_conceded,balls_bowled,bowling_avg,economy,bowling_sr,player_name
A Athanaze,781.0,33.0,1492.0,91.0,4.0,33.0,92.0,0.0,4.0,23.666666666666668,52.34584450402144,A Athanaze,1.0,80.0,156.0,80.0,3.0769230769230766,156.0,A Athanaze
A Balbirnie,402.0,20.0,818.0,49.0,0.0,20.0,95.0,0.0,3.0,20.1,49.1442542787286,0,0.0,0.0,0.0,0.0,0.0,0.0,A Balbirnie
A Bosch,88.0,7.0,193.0,13.0,1.0,7.0,39.0,0.0,0.0,12.571428571428571,45.59585492227979,A Bosch,3.0,107.0,133.0,35.666666666666664,4.827067669172933,44.333333333333336,A Bosch
A Brindle,75.0,6.0,242.0,13.0,0.0,5.0,24.0,0.0,0.0,15.0,30.991735537190085,A Brindle,0.0,42.0,42.0,0.0,6.0,0.0,A Brindle
A Chopra,221.0,8.0,672.0,27.0,0.0,8.0,60.0,0.0,2.0,27.625,32.88690476190476,0,0.0,0.0,0.0,0.0,0.0,0.0,A Chopra
A Dananjaya,135.0,10.0,254.0,14.0,0.0,8.0,43.0,0.0,0.0,16.875,53.14960629921261,A Dananjaya,34.0,835.0,1386.0,24.558823529411764,3.614718614718615,40.76470588235294,A Dananjaya
A Dercksen,60.0,4.0,128.0,12.0,0.0,4.0,41.0,0.0,0.0,15.0,46.875,A Dercksen,0.0,154.0,181.0,0.0,5.104972375690608,0.0,A Dercksen
A Flintoff,2228.0,68.0,3689.0,277.0,50.0,62.0,167.0,3.0,15.0,35.935483870967744,60.39577121171049,A Flintoff,131.0,4380.0,8409.0,33.43511450381679,3.125222975383518,64.19083969465649,A Flintoff
A Gardner,325.0,11.0,560.0,40.0,3.0,10.0,65.0,0.0,3.0,32.5,58.03571428571429,A Gardner,30.0,577.0,1302.0,19.23333333333333,2.6589861751152077,43.4,A Gardner
A Hlubi,6.0,3.0,24.0,1.0,0.0,3.0,5.0,0.0,0.0,2.0,25.0,A Hlubi,3.0,135.0,194.0,45.0,4.175257731958762,64.66666666666667,A Hlubi
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,A Khan,1.0,137.0,190.0,137.0,4.326315789473684,190.0,A Khan
A King,53.0,7.0,150.0,9.0,0.0,6.0,21.0,0.0,0.0,8.833333333333334,35.333333333333336,A King,14.0,348.0,774.0,24.857142857142858,2.6976744186046515,55.285714285714285,A King
A Kumble,893.0,55.0,2230.0,114.0,4.0,48.0,110.0,1.0,2.0,18.604166666666668,40.04484304932736,A Kumble,196.0,6355.0,12170.0,32.423469387755105,3.1331142152834834,62.09183673469388,A Kumble
A Lyth,265.0,13.0,532.0,40.0,1.0,12.0,107.0,1.0,0.0,22.08333333333333,49.81203007518797,A Lyth,0.0,0.0,6.0,0.0,0.0,0.0,A Lyth
A Mishra,648.0,31.0,1108.0,79.0,3.0,30.0,84.0,0.0,4.0,21.6,58.48375451263538,A Mishra,76.0,2791.0,5189.0,36.72368421052632,3.2272114087492776,68.27631578947368,A Mishra
A Mithun,120.0,5.0,249.0,16.0,0.0,5.0,46.0,0.0,0.0,24.0,48.19277108433735,A Mithun,9.0,473.0,729.0,52.55555555555556,3.893004115226337,81.0,A Mithun
A Mukund,320.0,14.0,705.0,32.0,1.0,14.0,81.0,0.0,2.0,22.857142857142858,45.39007092198582,A Mukund,0.0,14.0,12.0,0.0,7.0,0.0,A Mukund
A Ndlovu,9.0,4.0,40.0,2.0,0.0,4.0,5.0,0.0,0.0,2.25,22.5,A Ndlovu,2.0,281.0,420.0,140.5,4.014285714285714,200.0,A Ndlovu
A Nehra,1.0,2.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,9.090909090909092,A Nehra,4.0,225.0,377.0,56.25,3.580901856763926,94.25,A Nehra
A Nel,300.0,33.0,600.0,37.0,5.0,29.0,34.0,0.0,0.0,10.344827586206897,50.0,A Nel,79.0,2650.0,4969.0,33.54430379746835,3.19983900181123,62.89873417721519,A Nel
A Nortje,187.0,31.0,620.0,27.0,0.0,25.0,40.0,0.0,0.0,7.48,30.161290322580648,A Nortje,71.0,1995.0,3090.0,28.098591549295776,3.873786407766991,43.52112676056338,A Nortje
A Phillip,132.0,11.0,423.0,16.0,1.0,7.0,43.0,0.0,0.0,18.857142857142858,31.20567375886525,A Phillip,10.0,671.0,838.0,67.1,4.804295942720763,83.8,A Phillip
A Sharma,65.0,2.0,112.0,13.0,0.0,2.0,50.0,0.0,1.0,32.5,58.03571428571429,A Sharma,1.0,63.0,145.0,63.0,2.606896551724138,145.0,A Sharma
A Shrubsole,111.0,10.0,298.0,14.0,1.0,10.0,47.0,0.0,0.0,11.1,37.24832214765101,A Shrubsole,12.0,564.0,1360.0,47.0,2.488235294117647,113.33333333333331,A Shrubsole
A Sutherland,586.0,9.0,947.0,73.0,4.0,7.0,210.0,3.0,0.0,83.71428571428571,61.87961985216474,A Sutherland,13.0,397.0,700.0,30.53846153846154,3.402857142857143,53.84615384615385,A Sutherland
